,endTime,artistName,trackName,msPlayed
1963,2024-03-02 15:58,Arijit Singh,Nashe Si Chadh Gayi,1973
1964,2024-03-02 15:58,Zack Knight,Bom Diggy Diggy,3250
1965,2024-03-02 15:58,Wajid,Soni De Nakhre,1625
1966,2024-03-02 15:58,Guru Randhawa,"High Rated Gabru (From ""High Rated Gabru"")",905
1967,2024-03-02 15:58,Sachin-Jigar,Char Baj Gaye - Party Abhi Baaki Hai,882
1968,2024-03-02 15:58,Pritam,Balam Pichkari,998
1969,2024-03-02 15:58,Sukhwinder Singh,Dard - E - Disco,975
1970,2024-03-02 15:58,Pritam,Billo Rani,2345
1971,2024-03-02 15:58,Saleem Shahzada,Mast Kalandar,3297
1972,2024-03-02 15:58,Himesh Reshammiya,Hookah Bar,2020
1973,2024-03-02 15:58,Guru Randhawa,"Kaun Nachdi (From ""Sonu Ke Titu Ki Sweety"")",835
1974,2024-03-02 15:59,KK,Such Keh Raha Hai,21106
1975,2024-03-02 15:59,Arijit Singh,"Pachtaoge (From ""Jaani Ve"")",534
1976,2024-03-02 15:59,Amitabh Bhattacharya,Tera Rastaa Chhodoon Na,6455
1977,2024-03-02 15:59,Shankar Mahadevan,Uff Teri Adaa,1068
1978,2024-03-02 15:59,Rajat Nagpal,Hum Toh Deewane,1160
1979,2024-03-02 15:59,Badshah,"Bad Boy (From ""Saaho"")",208
1980,2024-03-02 15:59,Shaarib Toshi,Saturday Saturday,1695
1981,2024-03-02 15:59,Arijit Singh,"Sooraj Dooba Hain (From ""Roy"")",975
1982,2024-03-02 15:59,Anirudh Ravichander,Not Ramaiya Vastavaiya,1323
1983,2024-03-02 15:59,Mamta Sharma,Munni Badnaam,464
1984,2024-03-02 15:59,Sunidhi Chauhan,Sheila Ki Jawani,1300
1985,2024-03-02 15:59,Guru Randhawa,Suit Suit,580
1986,2024-03-02 15:59,Salim–Sulaiman,Chak De India,1068
1987,2024-03-02 15:59,Vishal Mishra,"Kaise Hua (From ""Kabir Singh"")",1253
1988,2024-03-02 16:03,Olivia Rodrigo,get him back!,250496
1989,2024-03-02 16:04,Olivia Rodrigo,love is embarrassing,19249
1990,2024-03-02 16:05,Olivia Rodrigo,all-american bitch,87771
1991,2024-03-02 16:05,Olivia Rodrigo,bad idea right?,1904
1992,2024-03-02 16:07,Olivia Rodrigo,all-american bitch,100297
1993,2024-03-02 16:11,Olivia Rodrigo,bad idea right?,168938
1994,2024-03-02 16:14,Olivia Rodrigo,vampire,212230
1995,2024-03-02 16:14,Olivia Rodrigo,lacy,1114
1996,2024-03-02 16:17,Olivia Rodrigo,making the bed,1114
1997,2024-03-02 16:17,Olivia Rodrigo,ballad of a homeschooled girl,199459
