artistName,trackName,msPlayed
Clairo,Bags - Recorded At Electric Lady Studios,859
Clairo,Flaming Hot Cheetos,14698
Clairo,Pretty Girl,2581
Clairo,Sexy to Someone,5457
Clairo,Sofia,103971
Clairo,Softly,789
Clinton Cerejo,Hey Ya !,189405
Clinton Kane,GO TO HELL,0
Cobra Starship,Good Girls Go Bad (feat. Leighton Meester),6604
Cochise,DO IT AGAIN,464
Cochise,Hatchback,1114
Cochise,POCKET ROCKET,4109
Cochise,Tell Em,273786
Coco & Clair Clair,Outro,7935
Coco & Clair Clair,Pop Star,1532
Coco & Clair Clair,Pretty,998
Cody Fry,I Hear a Symphony,53760
Colby Brock,Skin,673
Coldplay,Clocks,196440
Coldplay,Fix You,290295
Coldplay,High Speed,68936
Coldplay,Magic,285014
Coldplay,Parachutes,46200
Coldplay,Shiver,2026
Coldplay,Sparks,567018
Coldplay,Trouble,226687
Coldplay,Viva La Vida,224095
Coldplay,Yellow,266773
Conan Gray,Alley Rose,208489
Conan Gray,Astronomy,365830
Conan Gray,Comfort Crowd,164350
Conan Gray,Crush Culture,1160
Conan Gray,Disaster,97036
Conan Gray,Family Line,412806
Conan Gray,Fight or Flight,603
Conan Gray,Footnote,203550
Conan Gray,Generation Why,1207
Conan Gray,Greek God,960
Conan Gray,Heather,198040
Conan Gray,Jigsaw,4244
Conan Gray,Killing Me,67709
Conan Gray,Maniac,185773
Conan Gray,Memories,268932
Conan Gray,Movies,83197
Conan Gray,People Watching,315596
Conan Gray,Telepath,189382
Conan Gray,The Story,2832
Conan Gray,Winner,217209
Conan Gray,Wish You Were Sober,2856
Conan Gray,Yours,280171
Coolio,Gangsta's Paradise,4362
Corinne Bailey Rae,Put Your Records On,952
Counting Crows,"Accidentally In Love - From ""Shrek 2"" Soundtrack",859
Courtney Barnett,An Illustration of Loneliness (Sleepless in New York),3041
Cowboy Malfoy,How I'd Kill,33436
Crying City,Urn,139
Cub Sport,Hawaiian Party,882
Cults,Always Forever,223746
Cults,Gilded Lily,272721
Culture Club,Karma Chameleon - Remastered 2002,7058
Cyndi Lauper,Girls Just Want to Have Fun,2670
D38,D38 - No Miming,1509
DG IMMORTALS,KALESHI CHORI,789
DIVINE,Baazigar,1323
DJ Khaled,Wild Thoughts (feat. Rihanna & Bryson Tiller),3041
DJ Scheme,Blue Bills (feat. $NOT & Fenix Flexin),534
DJ Snake,Let Me Love You,7221
DJ Snake,Magenta Riddim,4527
DJ Snake,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",1184
DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",212578
DNCE,Cake By The Ocean,146262
DNCE,Toothbrush,95085
Daddy Yankee,Gasolina,112756
