,endTime,artistName,trackName,msPlayed
426,2023-08-05 04:55,Paramore,You First,231177
427,2023-08-05 04:59,Rex Orange County,Pluto Projector,233476
428,2023-08-05 05:03,Kendrick Lamar,Money Trees,143940
429,2023-08-05 05:06,Kali Uchis,Moonlight,187557
430,2023-08-05 05:08,Olivia Rodrigo,vampire,1207
431,2023-08-05 05:08,Lana Del Rey,West Coast,1091
432,2023-08-05 05:08,Azealia Banks,Luxury,134258
433,2023-08-05 05:11,Suki Waterhouse,Good Looking,2275
434,2023-08-05 05:11,"Tyler, The Creator",See You Again (feat. Kali Uchis),173847
435,2023-08-05 05:15,Kali Uchis,"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",203871
436,2023-08-05 05:17,Coldplay,Trouble,65991
437,2023-08-05 05:22,Mariya Takeuchi,Plastic Love,253
438,2023-08-05 05:22,Coldplay,Magic,285014
439,2023-08-05 05:25,The Strokes,Trying Your Luck,199157
440,2023-08-05 05:27,The Macarons Project,Fly Me to the Moon,155805
441,2023-08-05 05:30,Beach Bunny,Cloud 9 (feat. Tegan and Sara),136394
442,2023-08-05 05:37,The Marías,...baby one more time,112918
443,2023-08-05 05:40,The Strokes,"Call It Fate, Call It Karma",79017
444,2023-08-05 10:48,Cage The Elephant,Cigarette Daydreams,208760
445,2023-08-05 10:48,The Strokes,Partners In Crime,0
446,2023-08-05 10:52,Tame Impala,Borderline,237800
447,2023-08-05 11:08,Muse,Time is Running Out,172646
448,2023-08-05 11:10,grentperez,Cherry Wine,138042
449,2023-08-05 11:13,Stephen Sanchez,Until I Found You - Piano Version,151533
450,2023-08-05 11:21,Stephen Sanchez,Until I Found You (with Em Beihold) - Em Beihold Version,336588
451,2023-08-05 11:35,Sabrina Carpenter,emails i can’t send,23494
452,2023-08-05 11:39,Ryan Gosling,I'm Just Ken (From Barbie The Album),211951
453,2023-08-05 11:40,wendel,luxury - slowed + reverb,84381
454,2023-08-05 11:42,Justine Skye,Collide (Sped Up Remix),121277
455,2023-08-05 11:42,Khlaws,Under The Influence - Speed,6292
456,2023-08-05 11:46,Amaarae,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),1091
457,2023-08-05 11:46,Chris Brown,Under The Influence,188360
458,2023-08-05 11:46,B.o.B,Nothing on You,928
459,2023-08-05 11:46,Isabel LaRosa,i'm yours sped up,1137
460,2023-08-05 11:46,Doechii,What It Is (Solo Version),1509
461,2023-08-05 11:54,Justin Bieber,Confident,30441
462,2023-08-05 11:54,Metro Boomin,Creepin' (with The Weeknd & 21 Savage),1277
463,2023-08-05 11:54,The Weeknd,Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),98429
464,2023-08-05 11:54,Labrinth,Formula,998
465,2023-08-05 11:54,Chris Brown,No Guidance (feat. Drake),789
466,2023-08-05 11:58,Justin Bieber,Die In Your Arms,200922
467,2023-08-05 11:58,Harry Styles,Sweet Creature,1230
468,2023-08-05 11:58,Daniel Caesar,Best Part (feat. H.E.R.),812
469,2023-08-05 11:58,Sean Kingston,Eenie Meenie,882
470,2023-08-05 11:58,Justin Bieber,All That Matters,812
471,2023-08-05 11:58,Julia Michaels,Issues,9125
472,2023-08-05 11:58,Ariana Grande,Stuck with U (with Justin Bieber),1834
473,2023-08-05 12:03,Radiohead,Let Down,283445
474,2023-08-05 12:12,Mitski,Nobody,46509
475,2023-08-05 12:12,Radiohead,No Surprises,218035
476,2023-08-06 06:38,Justin Bieber,Die In Your Arms,185
477,2023-08-06 06:40,Justin Bieber,Die In Your Arms,128708
478,2023-08-06 06:44,Stacey Ryan,Fall In Love Alone,221982
479,2023-08-06 06:46,Stacey Ryan,Fall In Love Alone - Sped Up Version,110689
480,2023-08-06 06:47,BLACKPINK,Shut Down,81478
481,2023-08-06 06:48,Cochise,Tell Em,48878
482,2023-08-06 06:49,Ryan Gosling,I'm Just Ken (From Barbie The Album),90929
483,2023-08-06 06:51,Taylor Swift,august,86169
484,2023-08-06 06:54,THE ANXIETY,Meet Me At Our Spot - Live,191866
485,2023-08-06 06:55,Stephen Sanchez,Until I Found You (with Em Beihold) - Em Beihold Version,83220
486,2023-08-06 10:12,Ryan Gosling,"City Of Stars - From ""La La Land"" Soundtrack",146773
487,2023-08-06 10:16,Taylor Swift,Lover,221306
488,2023-08-06 10:19,Lizzy McAlpine,ceilings,182887
489,2023-08-06 10:23,Taylor Swift,cardigan,239560
490,2023-08-06 10:27,Olivia Rodrigo,vampire,219724
491,2023-08-06 10:27,John Mayer,New Light,7353
492,2023-08-06 10:27,Paramore,Still into You,1514
493,2023-08-06 10:31,BØRNS,Electric Love,218106
494,2023-08-06 10:35,Taylor Swift,champagne problems,244000
495,2023-08-06 10:37,Arctic Monkeys,Baby I'm Yours,152613
496,2023-08-06 10:40,Wabie,Hey Lover!,162560
497,2023-08-06 13:37,Billie Eilish,TV,126191
498,2023-08-06 13:38,THE ANXIETY,Meet Me At Our Spot - Live,100544
499,2023-08-06 13:41,Justin Bieber,Die In Your Arms,151253
500,2023-08-06 13:44,Cochise,Tell Em,188608
501,2023-08-06 13:47,Santana,Maria Maria (feat. The Product G&B) - sped up,182378
502,2023-08-06 13:48,Isabel LaRosa,i'm yours sped up,89621
503,2023-08-06 13:50,Ryan Gosling,"City Of Stars - From ""La La Land"" Soundtrack",93440
504,2023-08-06 13:52,Ryan Gosling,I'm Just Ken (From Barbie The Album),118506
505,2023-08-06 13:53,wendel,luxury - slowed + reverb,88405
506,2023-08-06 13:54,Lizzy McAlpine,ceilings,1002
507,2023-08-06 13:54,Lana Del Rey,West Coast,2560
508,2023-08-06 13:54,Sabrina Carpenter,emails i can’t send,1066
509,2023-08-06 13:54,Taylor Swift,august,56682
510,2023-08-06 13:55,Taylor Swift,cardigan,1173
511,2023-08-06 13:57,Kali Uchis,Melting,133290
512,2023-08-06 13:57,Delaney Bailey,Finish Line,6271
513,2023-08-06 13:58,Olivia Rodrigo,vampire,74880
514,2023-08-06 13:58,Sabrina Carpenter,things i wish you said,1749
515,2023-08-06 13:58,Taylor Swift,champagne problems,960
516,2023-08-06 13:59,Lana Del Rey,Radio,47765
517,2023-08-06 14:02,Conan Gray,Telepath,165525
518,2023-08-06 14:03,Chance Peña,In My Room,6911
519,2023-08-06 14:03,ABBA,Slipping Through My Fingers,54250
520,2023-08-06 14:04,Taylor Swift,Lover,72768
521,2023-08-06 14:05,King,Tu Aake Dekhle,46080
522,2023-08-06 14:06,Kali Uchis,Moonlight,91029
523,2023-08-06 14:09,Azealia Banks,Luxury,194368
524,2023-08-06 14:13,Lana Del Rey,West Coast,198293
525,2023-08-06 16:22,Lana Del Rey,Young And Beautiful,135040
526,2023-08-06 16:23,THE ANXIETY,Meet Me At Our Spot - Live,58645
527,2023-08-06 16:25,Justin Bieber,Die In Your Arms,94890
528,2023-08-06 16:25,Daniel Caesar,Best Part (feat. H.E.R.),1002
529,2023-08-06 16:26,Sean Kingston,Eenie Meenie,1578
530,2023-08-06 16:26,Adele,Chasing Pavements,1066
531,2023-08-06 16:26,James Arthur,Say You Won't Let Go,341
532,2023-08-06 16:26,Justin Bieber,Boyfriend,55573
533,2023-08-06 16:28,Daniel Caesar,We Find Love,1258
534,2023-08-06 16:28,Justin Bieber,Heartbreaker,1024
535,2023-08-06 16:28,Sean Kingston,Eenie Meenie,109418
536,2023-08-06 16:28,James Arthur,Say You Won't Let Go,1258
537,2023-08-06 16:28,DNCE,Toothbrush,41088
538,2023-08-06 16:29,Daniel Caesar,Blessed,597
539,2023-08-06 16:29,Harry Styles,Sweet Creature,938
540,2023-08-06 16:29,Paramore,The Only Exception,85
541,2023-08-06 16:29,Lana Del Rey,Lucky Ones,170
542,2023-08-06 16:29,Adele,All I Ask,1002
543,2023-08-06 16:29,Justin Bieber,One Less Lonely Girl,1194
544,2023-08-06 16:29,Julia Michaels,Issues,1130
545,2023-08-06 16:29,Ariana Grande,Stuck with U (with Justin Bieber),938
546,2023-08-06 16:29,Bruno Mars,When I Was Your Man,874
547,2023-08-06 16:29,Charlie Puth,Dangerously,895
548,2023-08-06 16:29,Bruno Mars,It Will Rain,938
549,2023-08-06 16:31,The Strokes,"Call It Fate, Call It Karma",1429
550,2023-08-06 16:31,Taylor Swift,I Almost Do,110016
551,2023-08-06 16:37,Lizzy McAlpine,ceilings,1151
552,2023-08-06 16:37,Olivia Rodrigo,vampire,960
553,2023-08-06 16:37,Taylor Swift,Call It What You Want,363712
554,2023-08-06 16:37,Taylor Swift,cardigan,490
555,2023-08-06 16:40,Olivia Rodrigo,vampire,209023
556,2023-08-06 16:40,Taylor Swift,cardigan,2090
557,2023-08-06 16:42,Zedd,Good Thing (with Kehlani),133418
558,2023-08-06 16:46,Shawn Mendes,Señorita,194965
559,2023-08-06 16:46,Shawn Mendes,Stitches,1109
560,2023-08-06 16:46,Zedd,Good Thing (with Kehlani),938
561,2023-08-06 16:47,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,1002
562,2023-08-06 16:47,Dua Lipa,Levitating (feat. DaBaby),85056
563,2023-08-06 16:47,One Direction,Night Changes,853
564,2023-08-06 16:49,Bruno Mars,That's What I Like,102442
565,2023-08-06 16:49,Harry Styles,Adore You,469
566,2023-08-06 16:49,Shawn Mendes,Treat You Better,810
567,2023-08-06 16:49,Charlie Puth,Attention,7893
568,2023-08-06 16:49,Dua Lipa,We're Good,853
569,2023-08-06 16:51,Bruno Mars,24K Magic,6847
570,2023-08-06 16:51,Mark Ronson,Uptown Funk (feat. Bruno Mars),103125
571,2023-08-06 16:51,Akanksha Sharma,Shinchan Title Track,11071
572,2023-08-06 16:53,Taylor Swift,Lover,554
573,2023-08-06 16:53,Justin Bieber,Die In Your Arms,298
574,2023-08-06 16:53,Chris Brown,Under The Influence,831
