artistName,trackName,msPlayed,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
AP Dhillon,TERE TE,1207,0.686,0.49,7.0,-10.96,0.0,0.146,0.0529,0.0,0.154,0.298,171.865,audio_features,0ptqV9ySE8HVbWblGdv3Eb,spotify:track:0ptqV9ySE8HVbWblGdv3Eb,https://api.spotify.com/v1/tracks/0ptqV9ySE8HVbWblGdv3Eb,https://api.spotify.com/v1/audio-analysis/0ptqV9ySE8HVbWblGdv3Eb,114419.0,4.0
ASIAN KUNG-FU GENERATION,アフターダーク,182240,0.387,0.95,1.0,-3.747,1.0,0.0475,0.00193,0.0,0.0689,0.541,191.006,audio_features,6XsJTpZwPKMcG8QK8k14Z6,spotify:track:6XsJTpZwPKMcG8QK8k14Z6,https://api.spotify.com/v1/tracks/6XsJTpZwPKMcG8QK8k14Z6,https://api.spotify.com/v1/audio-analysis/6XsJTpZwPKMcG8QK8k14Z6,192027.0,4.0
AUDREY NUNA,I Try,3181,0.592,0.668,9.0,-6.636,1.0,0.0507,0.0562,2.93e-06,0.0736,0.426,104.802,audio_features,08iGL1uxonlEokBK1tFray,spotify:track:08iGL1uxonlEokBK1tFray,https://api.spotify.com/v1/tracks/08iGL1uxonlEokBK1tFray,https://api.spotify.com/v1/audio-analysis/08iGL1uxonlEokBK1tFray,189714.0,4.0
Aastha Gill,Kamariya,151380,0.825,0.666,4.0,-4.847,0.0,0.0554,0.143,2.81e-06,0.237,0.763,96.987,audio_features,5cjVsWqIkBQC7acTRhL0RO,spotify:track:5cjVsWqIkBQC7acTRhL0RO,https://api.spotify.com/v1/tracks/5cjVsWqIkBQC7acTRhL0RO,https://api.spotify.com/v1/audio-analysis/5cjVsWqIkBQC7acTRhL0RO,187983.0,4.0
Abby Holliday,Predictable Life,6887,0.54,0.757,10.0,-8.383,1.0,0.059,0.214,0.000289,0.112,0.313,146.889,audio_features,6qw5dXrI9dqQvJFoxFm5hM,spotify:track:6qw5dXrI9dqQvJFoxFm5hM,https://api.spotify.com/v1/tracks/6qw5dXrI9dqQvJFoxFm5hM,https://api.spotify.com/v1/audio-analysis/6qw5dXrI9dqQvJFoxFm5hM,212653.0,4.0
Abhijeet,"Chaand Taare (From ""Yes Boss"")",7957,0.677,0.444,7.0,-14.141,1.0,0.0456,0.137,1.31e-06,0.113,0.613,91.798,audio_features,5Cdd8p9sxRczQX6GFC8CdH,spotify:track:5Cdd8p9sxRczQX6GFC8CdH,https://api.spotify.com/v1/tracks/5Cdd8p9sxRczQX6GFC8CdH,https://api.spotify.com/v1/audio-analysis/5Cdd8p9sxRczQX6GFC8CdH,289373.0,4.0
Abhijeet,"Hum to Deewane Huye (From ""Baadshah"")",17809,0.641,0.5,4.0,-13.234,1.0,0.0608,0.23,0.0,0.0656,0.805,85.96,audio_features,5qG6jYnBmGMdKS1WiZBgj5,spotify:track:5qG6jYnBmGMdKS1WiZBgj5,https://api.spotify.com/v1/tracks/5qG6jYnBmGMdKS1WiZBgj5,https://api.spotify.com/v1/audio-analysis/5qG6jYnBmGMdKS1WiZBgj5,420467.0,4.0
Abhijeet,Jhanjharia - Male Version,1555,0.73,0.878,2.0,-6.067,1.0,0.048,0.255,3.74e-06,0.0558,0.762,117.715,audio_features,7v6kXbTvpHbhq5LHruy0xV,spotify:track:7v6kXbTvpHbhq5LHruy0xV,https://api.spotify.com/v1/tracks/7v6kXbTvpHbhq5LHruy0xV,https://api.spotify.com/v1/audio-analysis/7v6kXbTvpHbhq5LHruy0xV,282867.0,4.0
Abhijeet,Main Hoon Na(Sad),225834,0.578,0.482,5.0,-10.503,1.0,0.0378,0.219,0.0,0.55,0.38,139.831,audio_features,4xS7MhQnMv8ailfTUM347g,spotify:track:4xS7MhQnMv8ailfTUM347g,https://api.spotify.com/v1/tracks/4xS7MhQnMv8ailfTUM347g,https://api.spotify.com/v1/audio-analysis/4xS7MhQnMv8ailfTUM347g,255493.0,4.0
Abhijeet,"Main Koi Aisa Geet Gaoon (From ""Yes Boss"")",28374,0.77,0.485,7.0,-11.612,1.0,0.0463,0.166,0.000196,0.289,0.932,121.685,audio_features,4hLShJ4RCa2KhqVHD7MRDn,spotify:track:4hLShJ4RCa2KhqVHD7MRDn,https://api.spotify.com/v1/tracks/4hLShJ4RCa2KhqVHD7MRDn,https://api.spotify.com/v1/audio-analysis/4hLShJ4RCa2KhqVHD7MRDn,317000.0,4.0
