artistName,trackName,danceability,loudness,speechiness,acousticness,valence,id,uri,track_href,analysis_url,duration_ms,time_signature,mood
Tinashe,Nasty,0.931,0.7447040838611052,0.0711,0.165,0.515,6NjWCIYu1W8xa3HIvcIhd4,spotify:track:6NjWCIYu1W8xa3HIvcIhd4,https://api.spotify.com/v1/tracks/6NjWCIYu1W8xa3HIvcIhd4,https://api.spotify.com/v1/audio-analysis/6NjWCIYu1W8xa3HIvcIhd4,176027.0,4.0,1
Tokio Hotel,Automatic,0.514,0.8888676566936013,0.0607,0.00117,0.559,4xCsC74d3k5MSb4g3dzpPR,spotify:track:4xCsC74d3k5MSb4g3dzpPR,https://api.spotify.com/v1/tracks/4xCsC74d3k5MSb4g3dzpPR,https://api.spotify.com/v1/audio-analysis/4xCsC74d3k5MSb4g3dzpPR,195400.0,4.0,0
Tom Cardy,Red Flags (feat. Montaigne),0.81,0.7984822013540075,0.0536,0.598,0.757,75NpiadMk9sKKtGdlfuztV,spotify:track:75NpiadMk9sKKtGdlfuztV,https://api.spotify.com/v1/tracks/75NpiadMk9sKKtGdlfuztV,https://api.spotify.com/v1/audio-analysis/75NpiadMk9sKKtGdlfuztV,165351.0,4.0,1
Tom Odell,Black Friday,0.853,0.679187595544879,0.0923,0.633,0.32,4MSj19TwYBLgDFj3ddEeco,spotify:track:4MSj19TwYBLgDFj3ddEeco,https://api.spotify.com/v1/tracks/4MSj19TwYBLgDFj3ddEeco,https://api.spotify.com/v1/audio-analysis/4MSj19TwYBLgDFj3ddEeco,145599.0,4.0,2
Tommy Richman,MILLION DOLLAR BABY,0.852,0.8242247215549248,0.0439,0.0973,0.919,5AJ9hqTS2wcFQCELCFRO7A,spotify:track:5AJ9hqTS2wcFQCELCFRO7A,https://api.spotify.com/v1/tracks/5AJ9hqTS2wcFQCELCFRO7A,https://api.spotify.com/v1/audio-analysis/5AJ9hqTS2wcFQCELCFRO7A,155152.0,4.0,1
Tony Kakkar,"Coca Cola (From ""Luka Chuppi"")",0.722,0.8752183882943875,0.0904,0.121,0.893,352wEkChkiClswqwDoM0nj,spotify:track:352wEkChkiClswqwDoM0nj,https://api.spotify.com/v1/tracks/352wEkChkiClswqwDoM0nj,https://api.spotify.com/v1/audio-analysis/352wEkChkiClswqwDoM0nj,179225.0,4.0,1
Tony Paul,Move Like Jagger,0.767,0.6901616073378468,0.143,0.0533,0.836,0ogfHE4YRDb0IHc9bZNZo3,spotify:track:0ogfHE4YRDb0IHc9bZNZo3,https://api.spotify.com/v1/tracks/0ogfHE4YRDb0IHc9bZNZo3,https://api.spotify.com/v1/audio-analysis/0ogfHE4YRDb0IHc9bZNZo3,208320.0,4.0,1
Tory Lanez,Hurts Me,0.553,0.8253985586372572,0.0325,0.0438,0.673,0RBw4ODUQPO4cuAOZtBGga,spotify:track:0RBw4ODUQPO4cuAOZtBGga,https://api.spotify.com/v1/tracks/0RBw4ODUQPO4cuAOZtBGga,https://api.spotify.com/v1/audio-analysis/0RBw4ODUQPO4cuAOZtBGga,140801.0,4.0,1
Tory Lanez,The Color Violet,0.645,0.680088447259227,0.0479,0.157,0.463,3azJifCSqg9fRij2yKIbWz,spotify:track:3azJifCSqg9fRij2yKIbWz,https://api.spotify.com/v1/tracks/3azJifCSqg9fRij2yKIbWz,https://api.spotify.com/v1/audio-analysis/3azJifCSqg9fRij2yKIbWz,226467.0,4.0,0
Tove Lo,Habits (Stay High),0.733,0.8783031229526098,0.0315,0.0703,0.348,4RCFS4s70L2dmAIFusubfL,spotify:track:4RCFS4s70L2dmAIFusubfL,https://api.spotify.com/v1/tracks/4RCFS4s70L2dmAIFusubfL,https://api.spotify.com/v1/audio-analysis/4RCFS4s70L2dmAIFusubfL,209160.0,4.0,0
Toy-Box,Superstar,0.693,0.8941908713692948,0.0536,0.0291,0.952,5U5ToZKDyfVoXO9BUTVSuI,spotify:track:5U5ToZKDyfVoXO9BUTVSuI,https://api.spotify.com/v1/tracks/5U5ToZKDyfVoXO9BUTVSuI,https://api.spotify.com/v1/audio-analysis/5U5ToZKDyfVoXO9BUTVSuI,187867.0,4.0,1
Travis Scott,5% TINT,0.712,0.8270910679187596,0.0487,0.173,0.062,11kDth1aKUEUMq9r1pqyds,spotify:track:11kDth1aKUEUMq9r1pqyds,https://api.spotify.com/v1/tracks/11kDth1aKUEUMq9r1pqyds,https://api.spotify.com/v1/audio-analysis/11kDth1aKUEUMq9r1pqyds,196138.0,4.0,0
Travis Scott,BUTTERFLY EFFECT,0.764,0.8151889058746452,0.0503,0.053,0.196,6xcJyGpfZbuuiequtnlKt4,spotify:track:6xcJyGpfZbuuiequtnlKt4,https://api.spotify.com/v1/tracks/6xcJyGpfZbuuiequtnlKt4,https://api.spotify.com/v1/audio-analysis/6xcJyGpfZbuuiequtnlKt4,190557.0,4.0,0
Travis Scott,FE!N (feat. Playboi Carti),0.569,0.8991046079930116,0.06,0.0316,0.201,42VsgItocQwOQC3XWZ8JNA,spotify:track:42VsgItocQwOQC3XWZ8JNA,https://api.spotify.com/v1/tracks/42VsgItocQwOQC3XWZ8JNA,https://api.spotify.com/v1/audio-analysis/42VsgItocQwOQC3XWZ8JNA,191701.0,4.0,0
Travis Scott,goosebumps,0.841,0.8829165756715441,0.0484,0.0847,0.43,6gBFPUFcJLzWGx4lenP6h2,spotify:track:6gBFPUFcJLzWGx4lenP6h2,https://api.spotify.com/v1/tracks/6gBFPUFcJLzWGx4lenP6h2,https://api.spotify.com/v1/audio-analysis/6gBFPUFcJLzWGx4lenP6h2,243837.0,4.0,0
